education,joiningyear,city,paymenttier,age,gender,everbenched,experienceincurrentdomain,offtime,employeeid,department
Bachelors,2014,kanke,3,26,Female,No,4,0,EMP0943,Marketing
Bachelors,2018,Ratu road ,3,25,Male,No,3,7,EMP0944,HR
Bachelors,2017,kanke,3,26,Female,No,4,6,EMP0945,Marketing
Bachelors,2015,Lalpur,2,26,Female,No,4,8,EMP0946,Marketing
Bachelors,2017,kanke,3,26,Male,No,4,11,EMP0947,Sales
Bachelors,2012,Ratu road ,3,25,Female,Yes,3,6,EMP0948,IT
Bachelors,2017,Ratu road ,3,25,Male,Yes,3,3,EMP0949,Marketing
Bachelors,2013,Ratu road ,3,28,Female,No,1,8,EMP0950,Marketing
Bachelors,2013,Lalpur,3,24,Female,No,2,2,EMP0951,IT
Bachelors,2014,Ratu road ,3,25,Male,No,3,0,EMP0952,HR
Masters,2017,kanke,3,25,Male,No,3,3,EMP0953,Marketing
Bachelors,2015,Lalpur,2,27,Female,No,5,11,EMP0954,HR
Masters,2017,Lalpur,2,28,Male,No,3,1,EMP0955,IT
Masters,2017,kanke,3,26,Male,No,4,3,EMP0956,HR
Masters,2017,Lalpur,2,24,Female,No,2,8,EMP0957,HR
Masters,2015,Lalpur,1,26,Female,No,4,5,EMP0958,IT
Masters,2013,Lalpur,3,26,Male,No,4,10,EMP0959,Sales
Bachelors,2015,Ratu road ,3,26,Male,No,4,8,EMP0960,IT
Bachelors,2017,Lalpur,3,24,Male,No,2,1,EMP0961,HR
PHD,2016,Ratu road ,3,27,Male,No,5,4,EMP0962,IT
Bachelors,2018,Ratu road ,3,24,Male,No,2,0,EMP0963,Sales
Bachelors,2014,Lalpur,3,25,Male,No,3,10,EMP0964,IT
Bachelors,2012,Ratu road ,3,26,Male,No,4,10,EMP0965,IT
Bachelors,2017,Ratu road ,3,28,Male,No,3,3,EMP0966,Finance
Bachelors,2014,Lalpur,3,25,Male,No,3,0,EMP0967,Finance
Masters,2018,kanke,3,25,Female,No,3,11,EMP0968,IT
Bachelors,2013,Lalpur,2,25,Female,No,3,2,EMP0969,IT
PHD,2013,kanke,3,26,Male,No,4,12,EMP0970,IT
Bachelors,2015,kanke,3,28,Female,No,3,2,EMP0971,Marketing
Bachelors,2017,Ratu road ,3,24,Male,No,2,8,EMP0972,Marketing
Masters,2018,kanke,1,26,Female,No,4,10,EMP0973,HR
Bachelors,2013,Lalpur,2,24,Female,No,2,4,EMP0974,HR
Bachelors,2018,Ratu road ,3,24,Male,No,2,8,EMP0975,Finance
PHD,2016,Lalpur,1,25,Female,No,3,12,EMP0976,IT
Bachelors,2014,Lalpur,3,26,Male,No,4,4,EMP0977,IT
Masters,2015,Lalpur,1,27,Female,No,5,7,EMP0978,Sales
Bachelors,2013,Lalpur,3,28,Female,No,2,1,EMP0979,IT
Bachelors,2016,Ratu road ,1,27,Female,No,5,6,EMP0980,HR
Bachelors,2014,kanke,3,24,Male,No,2,3,EMP0981,Marketing
Bachelors,2016,Ratu road ,3,26,Male,Yes,4,12,EMP0982,Sales
Bachelors,2015,Lalpur,3,25,Female,No,3,8,EMP0983,Marketing
Bachelors,2013,Ratu road ,3,24,Male,No,2,1,EMP0984,HR
Bachelors,2015,Ratu road ,3,25,Female,No,3,6,EMP0985,Finance
Bachelors,2015,Ratu road ,3,26,Male,No,4,11,EMP0986,IT
Bachelors,2016,Ratu road ,3,26,Male,No,4,2,EMP0987,IT
Bachelors,2013,Lalpur,3,26,Male,No,4,6,EMP0988,IT
Masters,2016,Ratu road ,3,26,Female,No,4,4,EMP0989,Marketing
Bachelors,2018,Ratu road ,3,27,Female,No,5,1,EMP0990,IT
Bachelors,2017,Ratu road ,3,24,Female,No,2,1,EMP0991,Marketing
Bachelors,2014,kanke,3,24,Female,No,2,4,EMP0992,Finance
Bachelors,2013,Lalpur,3,26,Male,Yes,4,9,EMP0993,HR
Bachelors,2014,Ratu road ,3,26,Male,No,4,8,EMP0994,Sales
Bachelors,2014,Ratu road ,3,24,Male,No,2,10,EMP0995,Finance
Bachelors,2012,Ratu road ,3,26,Male,No,4,8,EMP0996,Marketing
Bachelors,2014,Lalpur,2,26,Female,No,4,1,EMP0997,HR
Bachelors,2016,kanke,3,28,Female,No,5,4,EMP0998,Marketing
Bachelors,2015,Ratu road ,3,28,Male,No,5,5,EMP0999,IT
Bachelors,2012,Lalpur,2,26,Female,No,4,5,EMP1000,Marketing
Bachelors,2013,kanke,3,26,Female,No,4,5,EMP1001,Sales
Bachelors,2013,Lalpur,3,24,Male,No,2,5,EMP1002,Marketing
Masters,2017,kanke,3,28,Female,No,3,1,EMP1003,HR
Bachelors,2012,kanke,3,27,Female,No,5,5,EMP1004,IT
Bachelors,2017,Ratu road ,3,25,Male,No,3,9,EMP1005,Sales
Bachelors,2012,kanke,3,24,Female,No,2,12,EMP1006,Finance
Masters,2015,Lalpur,1,24,Male,No,2,10,EMP1007,Finance
Masters,2013,kanke,3,27,Male,No,5,4,EMP1008,HR
Bachelors,2017,kanke,3,24,Female,No,2,6,EMP1009,Sales
Bachelors,2014,Ratu road ,3,28,Male,No,1,0,EMP1010,HR
Bachelors,2015,Ratu road ,3,28,Female,No,1,4,EMP1011,HR
Masters,2013,kanke,3,27,Male,No,5,5,EMP1012,HR
Bachelors,2014,Ratu road ,3,26,Male,No,4,4,EMP1013,IT
Bachelors,2017,Ratu road ,3,25,Male,No,3,5,EMP1014,HR
Masters,2015,kanke,3,24,Male,No,2,3,EMP1015,HR
Bachelors,2014,Ratu road ,3,25,Male,No,3,9,EMP1016,Marketing
Bachelors,2014,Ratu road ,3,25,Female,No,3,6,EMP1017,Sales
Bachelors,2017,Ratu road ,1,24,Male,No,2,4,EMP1018,IT
Bachelors,2014,kanke,3,27,Female,No,5,11,EMP1019,IT
Bachelors,2013,Ratu road ,3,27,Female,No,5,0,EMP1020,IT
Bachelors,2012,Ratu road ,3,28,Female,No,2,2,EMP1021,HR
Bachelors,2015,Ratu road ,3,27,Male,No,5,8,EMP1022,HR
Bachelors,2012,Ratu road ,3,26,Male,No,4,0,EMP1023,IT
Bachelors,2013,Lalpur,1,27,Female,No,5,3,EMP1024,Sales
Bachelors,2014,kanke,3,27,Female,Yes,5,11,EMP1025,IT
Bachelors,2014,Ratu road ,3,28,Male,No,4,4,EMP1026,Finance
Bachelors,2014,Ratu road ,3,27,Male,No,5,7,EMP1027,Sales
Bachelors,2014,Ratu road ,3,28,Female,No,1,2,EMP1028,Finance
Masters,2018,kanke,3,25,Female,No,3,11,EMP1029,IT
Bachelors,2017,Ratu road ,3,27,Male,No,5,3,EMP1030,Finance
Bachelors,2015,Ratu road ,3,24,Male,Yes,2,2,EMP1031,Sales
Masters,2017,Lalpur,2,25,Female,No,3,0,EMP1032,HR
Bachelors,2017,kanke,2,27,Female,No,5,2,EMP1033,IT
Bachelors,2016,Ratu road ,3,28,Male,No,3,9,EMP1034,Sales
Bachelors,2015,Lalpur,2,25,Female,Yes,3,8,EMP1035,Marketing
Masters,2017,kanke,3,24,Male,No,2,4,EMP1036,HR
Bachelors,2015,Ratu road ,3,28,Male,No,4,3,EMP1037,Marketing
Masters,2014,Lalpur,3,26,Male,No,4,0,EMP1038,Marketing
Bachelors,2013,Lalpur,3,26,Male,No,4,7,EMP1039,HR
Bachelors,2016,Ratu road ,3,26,Male,No,4,0,EMP1040,IT
Bachelors,2013,Ratu road ,3,26,Male,No,4,10,EMP1041,HR
Masters,2013,kanke,1,24,Female,No,2,5,EMP1042,IT
Bachelors,2014,Ratu road ,3,25,Male,No,3,0,EMP1043,Finance
Bachelors,2018,Ratu road ,3,27,Male,No,5,11,EMP1044,IT
Bachelors,2013,Ratu road ,3,28,Male,No,1,6,EMP1045,Finance
Bachelors,2016,Lalpur,2,28,Female,No,4,3,EMP1046,HR
Bachelors,2012,Ratu road ,3,28,Male,No,1,5,EMP1047,IT
Bachelors,2017,kanke,3,25,Female,No,3,2,EMP1048,HR
Bachelors,2018,Ratu road ,3,25,Male,Yes,3,2,EMP1049,Marketing
Bachelors,2012,Lalpur,1,27,Female,No,5,3,EMP1050,Marketing
Masters,2017,kanke,3,24,Male,No,2,7,EMP1051,HR
Bachelors,2014,Ratu road ,3,24,Male,No,2,3,EMP1052,HR
Bachelors,2014,Lalpur,3,26,Male,No,4,5,EMP1053,Marketing
Bachelors,2013,Ratu road ,3,25,Female,No,3,1,EMP1054,Sales
Bachelors,2017,Ratu road ,3,28,Male,No,2,4,EMP1055,HR
Bachelors,2015,Lalpur,3,25,Female,No,3,11,EMP1056,HR
Bachelors,2017,Ratu road ,3,24,Male,No,2,10,EMP1057,IT
Bachelors,2018,Ratu road ,3,24,Male,Yes,2,5,EMP1058,Finance
Bachelors,2016,Ratu road ,3,28,Male,Yes,4,11,EMP1059,HR
Bachelors,2014,Ratu road ,3,26,Female,No,4,1,EMP1060,Sales
Bachelors,2017,Ratu road ,3,28,Male,No,1,10,EMP1061,IT
Bachelors,2012,Ratu road ,3,27,Male,No,5,11,EMP1062,Sales
Bachelors,2016,kanke,3,26,Male,No,4,5,EMP1063,IT
Bachelors,2014,Ratu road ,3,27,Female,No,5,11,EMP1064,HR
Bachelors,2014,Ratu road ,3,27,Female,Yes,5,3,EMP1065,Marketing
Bachelors,2013,Ratu road ,3,26,Male,No,4,2,EMP1066,Finance
PHD,2015,kanke,2,24,Female,No,2,2,EMP1067,Finance
Bachelors,2018,Ratu road ,3,26,Male,No,4,3,EMP1068,Marketing
Bachelors,2017,kanke,2,24,Female,No,2,3,EMP1069,Finance
PHD,2015,Lalpur,1,25,Female,No,3,7,EMP1070,Marketing
Bachelors,2017,kanke,3,24,Male,No,2,0,EMP1071,HR
Bachelors,2013,Ratu road ,3,25,Female,No,3,10,EMP1072,Finance
Bachelors,2014,Ratu road ,3,24,Male,Yes,2,1,EMP1073,IT
Masters,2018,kanke,3,26,Male,Yes,4,10,EMP1074,Sales
Bachelors,2015,Ratu road ,2,25,Female,No,3,9,EMP1075,Sales
Bachelors,2012,Ratu road ,3,25,Male,No,3,10,EMP1076,IT
Masters,2012,kanke,3,28,Male,Yes,2,11,EMP1077,HR
Bachelors,2015,Ratu road ,3,24,Female,No,2,4,EMP1078,Sales
Bachelors,2012,Ratu road ,3,24,Male,No,2,0,EMP1079,Sales
PHD,2018,kanke,3,27,Female,No,5,10,EMP1080,Marketing
Bachelors,2014,Ratu road ,3,25,Male,No,3,8,EMP1081,Sales
Bachelors,2012,Ratu road ,3,25,Male,No,3,4,EMP1082,Marketing
Bachelors,2012,Ratu road ,3,28,Male,No,5,3,EMP1083,Finance
Bachelors,2017,kanke,2,26,Female,No,4,11,EMP1084,Marketing
Bachelors,2013,Ratu road ,3,25,Male,No,3,8,EMP1085,Marketing
Masters,2018,Lalpur,3,24,Male,No,2,11,EMP1086,Marketing
Bachelors,2016,Ratu road ,3,26,Male,No,4,3,EMP1087,HR
Bachelors,2013,Ratu road ,3,26,Male,No,4,3,EMP1088,HR
Bachelors,2016,kanke,3,28,Female,No,2,10,EMP1089,Marketing
Masters,2017,kanke,2,27,Male,Yes,5,11,EMP1090,HR
Bachelors,2018,Lalpur,2,27,Female,No,5,12,EMP1091,IT
Masters,2014,kanke,3,28,Female,No,4,1,EMP1092,HR
Masters,2017,kanke,3,25,Female,No,3,10,EMP1093,IT
Masters,2017,Ratu road ,3,26,Female,No,4,4,EMP1094,HR
Bachelors,2015,Lalpur,2,27,Female,No,5,10,EMP1095,HR
Bachelors,2013,kanke,3,27,Female,No,5,12,EMP1096,HR
Masters,2017,kanke,1,26,Female,No,4,6,EMP1097,Sales
Bachelors,2013,kanke,3,27,Female,No,5,6,EMP1098,HR
Bachelors,2012,kanke,3,28,Male,No,3,8,EMP1099,Finance
Masters,2017,Lalpur,2,27,Male,No,5,0,EMP1100,Sales
Bachelors,2017,kanke,3,26,Female,No,4,1,EMP1101,IT
Bachelors,2013,Ratu road ,3,28,Female,No,4,3,EMP1102,Marketing
Masters,2012,kanke,3,27,Male,Yes,5,4,EMP1103,Marketing
Bachelors,2017,Lalpur,2,24,Male,No,2,10,EMP1104,Sales
Masters,2017,kanke,3,25,Female,No,3,4,EMP1105,HR
Bachelors,2018,Ratu road ,3,25,Female,Yes,3,12,EMP1106,Finance
Bachelors,2016,Ratu road ,3,28,Male,Yes,4,7,EMP1107,Marketing
Masters,2017,kanke,3,28,Male,No,2,2,EMP1108,Sales
Bachelors,2014,Ratu road ,3,24,Male,No,2,11,EMP1109,IT
Bachelors,2016,Ratu road ,3,26,Male,Yes,4,7,EMP1110,Marketing
Bachelors,2014,Lalpur,3,24,Female,No,2,11,EMP1111,IT
Bachelors,2013,Lalpur,3,26,Male,No,4,2,EMP1112,Sales
Bachelors,2012,Ratu road ,3,27,Male,No,5,2,EMP1113,Marketing
Bachelors,2018,Ratu road ,3,24,Male,No,2,3,EMP1114,Sales
Bachelors,2017,Ratu road ,1,26,Female,No,4,6,EMP1115,Sales
Bachelors,2015,Ratu road ,3,28,Female,No,3,7,EMP1116,Marketing
Bachelors,2013,Ratu road ,3,28,Male,No,3,2,EMP1117,HR
Bachelors,2012,Ratu road ,3,27,Male,Yes,5,1,EMP1118,HR
Bachelors,2013,Ratu road ,3,26,Female,No,4,10,EMP1119,Finance
Masters,2013,kanke,2,27,Female,No,5,2,EMP1120,HR
Bachelors,2016,kanke,3,24,Female,No,2,5,EMP1121,Finance
Bachelors,2015,Lalpur,2,28,Female,No,2,7,EMP1122,Sales
Bachelors,2015,kanke,2,25,Female,No,3,0,EMP1123,Sales
Bachelors,2014,Lalpur,3,24,Male,No,2,7,EMP1124,Marketing
Bachelors,2017,kanke,3,27,Female,No,5,2,EMP1125,HR
Bachelors,2012,kanke,3,26,Male,No,4,9,EMP1126,Marketing
Bachelors,2013,Ratu road ,3,28,Male,No,0,10,EMP1127,IT
Bachelors,2012,Lalpur,3,28,Male,No,5,12,EMP1128,Finance
Bachelors,2015,Lalpur,2,26,Female,No,4,10,EMP1129,IT
Bachelors,2016,Ratu road ,1,26,Male,No,4,1,EMP1130,Marketing
Masters,2017,kanke,2,28,Female,Yes,2,6,EMP1131,Sales
Masters,2017,kanke,2,25,Male,No,3,10,EMP1132,Marketing
Bachelors,2017,Ratu road ,3,24,Male,No,2,6,EMP1133,Sales
Bachelors,2013,Ratu road ,3,28,Male,No,0,1,EMP1134,HR
Bachelors,2014,Lalpur,3,27,Male,No,5,5,EMP1135,Finance
Bachelors,2016,Lalpur,2,26,Female,No,4,12,EMP1136,Marketing
Bachelors,2018,Ratu road ,3,27,Female,Yes,5,8,EMP1137,Marketing
Bachelors,2012,Lalpur,3,28,Male,No,4,5,EMP1138,Finance
Bachelors,2013,Lalpur,2,26,Female,No,4,1,EMP1139,Finance
Bachelors,2014,Ratu road ,3,28,Female,No,3,7,EMP1140,Sales
Masters,2017,kanke,2,28,Female,No,2,3,EMP1141,IT
Bachelors,2012,kanke,1,27,Female,No,5,10,EMP1142,Finance
Bachelors,2017,kanke,2,27,Male,No,5,1,EMP1143,Finance
Bachelors,2014,Ratu road ,3,24,Male,No,2,0,EMP1144,IT
Bachelors,2013,Lalpur,3,27,Male,No,5,4,EMP1145,Finance
Bachelors,2015,Ratu road ,3,27,Female,No,5,6,EMP1146,Marketing
Bachelors,2017,Ratu road ,3,27,Male,No,5,0,EMP1147,Sales
Masters,2012,kanke,3,24,Male,No,2,4,EMP1148,HR
Bachelors,2013,kanke,2,25,Female,No,3,10,EMP1149,Sales
Bachelors,2017,Ratu road ,3,25,Male,No,3,10,EMP1150,HR
Bachelors,2018,Ratu road ,3,25,Male,No,3,3,EMP1151,Sales
Masters,2013,Lalpur,3,25,Male,Yes,3,7,EMP1152,Finance
Bachelors,2013,Lalpur,3,24,Female,No,2,9,EMP1153,Sales
Bachelors,2015,Lalpur,3,24,Female,No,2,4,EMP1154,Finance
Bachelors,2014,Ratu road ,3,24,Male,No,2,12,EMP1155,Finance
Masters,2012,kanke,3,26,Female,No,4,2,EMP1156,Sales
Bachelors,2015,Lalpur,3,25,Male,No,3,1,EMP1157,Finance
Bachelors,2017,kanke,2,26,Female,No,4,6,EMP1158,IT
Bachelors,2013,Ratu road ,3,28,Male,No,3,1,EMP1159,HR
Bachelors,2016,Lalpur,2,28,Female,No,0,9,EMP1160,IT
Bachelors,2012,kanke,3,24,Male,No,2,0,EMP1161,Finance
Bachelors,2015,kanke,3,28,Male,No,1,2,EMP1162,Finance
Bachelors,2017,Ratu road ,1,24,Male,No,2,10,EMP1163,HR
Masters,2017,Lalpur,2,28,Female,No,4,1,EMP1164,IT
Bachelors,2017,Lalpur,3,24,Male,No,2,1,EMP1165,IT
Bachelors,2016,Ratu road ,3,27,Female,No,5,11,EMP1166,Finance
Bachelors,2015,Lalpur,3,28,Male,No,2,5,EMP1167,Finance
Bachelors,2016,Ratu road ,3,28,Female,No,5,11,EMP1168,IT
Bachelors,2018,Ratu road ,3,25,Male,No,3,11,EMP1169,HR
Bachelors,2015,Ratu road ,3,28,Female,No,5,2,EMP1170,Sales
Bachelors,2014,Ratu road ,3,27,Male,No,5,10,EMP1171,Sales
Bachelors,2013,Ratu road ,3,26,Male,No,4,4,EMP1172,IT
Bachelors,2015,Ratu road ,1,24,Male,No,2,11,EMP1173,Finance
Bachelors,2012,Ratu road ,3,27,Female,No,5,6,EMP1174,HR
Bachelors,2012,Ratu road ,3,25,Male,No,3,8,EMP1175,IT
Bachelors,2015,Lalpur,3,28,Female,No,4,0,EMP1176,Sales
Masters,2017,Ratu road ,2,24,Female,Yes,2,7,EMP1177,Finance
Bachelors,2014,Ratu road ,3,28,Male,No,2,6,EMP1178,Sales
Masters,2017,Lalpur,2,24,Female,No,2,3,EMP1179,Marketing
Bachelors,2014,kanke,3,26,Female,No,4,4,EMP1180,HR
Bachelors,2015,Lalpur,2,28,Female,No,3,7,EMP1181,Sales
Masters,2013,Lalpur,2,28,Male,No,5,2,EMP1182,IT
Bachelors,2013,kanke,1,28,Female,No,5,2,EMP1183,Finance
Bachelors,2015,Lalpur,2,26,Female,Yes,4,8,EMP1184,Sales
Masters,2015,kanke,3,28,Male,No,2,0,EMP1185,IT
Bachelors,2013,Ratu road ,3,27,Male,No,5,6,EMP1186,Finance
Bachelors,2018,Ratu road ,3,28,Male,No,2,6,EMP1187,IT
Bachelors,2012,Lalpur,3,28,Male,No,2,10,EMP1188,Marketing
Bachelors,2014,Lalpur,3,27,Female,No,5,4,EMP1189,Marketing
Masters,2018,kanke,3,24,Male,No,2,11,EMP1190,Sales
Bachelors,2018,Ratu road ,3,25,Male,Yes,3,3,EMP1191,IT
Bachelors,2017,kanke,2,25,Male,No,3,12,EMP1192,Marketing
Bachelors,2014,Lalpur,3,24,Female,No,2,5,EMP1193,Marketing
Bachelors,2012,kanke,3,26,Female,No,4,5,EMP1194,Marketing
Bachelors,2014,Lalpur,3,26,Male,No,4,2,EMP1195,Sales
Bachelors,2014,Ratu road ,3,28,Male,No,4,7,EMP1196,IT
Bachelors,2018,Ratu road ,3,26,Male,Yes,4,3,EMP1197,Finance
Bachelors,2013,Lalpur,2,26,Male,No,4,0,EMP1198,Sales
Bachelors,2013,Lalpur,2,25,Female,No,3,1,EMP1199,Marketing
Bachelors,2018,Lalpur,3,25,Male,Yes,3,5,EMP1200,Finance
Bachelors,2013,Ratu road ,3,25,Female,No,3,0,EMP1201,IT
Bachelors,2014,Ratu road ,3,28,Male,No,4,5,EMP1202,Finance
Masters,2017,kanke,3,24,Female,No,2,6,EMP1203,Finance
Masters,2017,Lalpur,2,27,Female,No,5,11,EMP1204,Finance
Bachelors,2012,Ratu road ,3,24,Male,No,2,6,EMP1205,IT
Bachelors,2017,Lalpur,3,27,Female,No,5,0,EMP1206,Finance
Masters,2017,kanke,2,28,Male,No,4,4,EMP1207,Marketing
Bachelors,2017,kanke,2,25,Male,No,3,4,EMP1208,Finance
Bachelors,2017,Lalpur,3,25,Male,Yes,3,8,EMP1209,Marketing
Masters,2017,Lalpur,2,24,Female,No,2,8,EMP1210,HR
Bachelors,2013,Lalpur,3,27,Male,Yes,5,5,EMP1211,Finance
Bachelors,2016,Ratu road ,3,26,Female,No,4,5,EMP1212,IT
Bachelors,2015,Lalpur,2,27,Female,No,5,11,EMP1213,Finance
Bachelors,2014,Ratu road ,3,27,Male,No,5,8,EMP1214,IT
Bachelors,2012,Ratu road ,3,26,Male,No,4,4,EMP1215,Marketing
Bachelors,2016,Lalpur,2,27,Female,No,5,7,EMP1216,HR
Masters,2017,Ratu road ,2,28,Male,No,2,2,EMP1217,HR
Masters,2017,kanke,3,24,Female,No,2,11,EMP1218,IT
Bachelors,2017,Lalpur,3,24,Male,No,2,2,EMP1219,IT
Bachelors,2018,Ratu road ,3,24,Male,No,2,2,EMP1220,Marketing
Masters,2017,kanke,2,28,Male,No,3,3,EMP1221,HR
Bachelors,2015,Ratu road ,3,26,Female,Yes,4,11,EMP1222,IT
Bachelors,2018,Lalpur,3,26,Female,No,4,8,EMP1223,HR
Bachelors,2013,Ratu road ,3,25,Male,Yes,3,1,EMP1224,HR
Bachelors,2016,Ratu road ,3,26,Male,No,4,4,EMP1225,Finance
Masters,2018,Lalpur,3,28,Male,No,2,12,EMP1226,Finance
Bachelors,2016,Ratu road ,3,26,Male,No,4,12,EMP1227,Finance
Bachelors,2017,Ratu road ,3,27,Male,No,5,4,EMP1228,Finance
Bachelors,2012,Ratu road ,3,27,Female,No,5,11,EMP1229,IT
PHD,2016,kanke,3,27,Male,No,5,6,EMP1230,Sales
Bachelors,2017,kanke,2,25,Male,No,3,5,EMP1231,Sales
Bachelors,2015,kanke,3,28,Female,No,2,2,EMP1232,Marketing
Bachelors,2013,Lalpur,2,26,Female,No,4,8,EMP1233,IT
Bachelors,2017,Ratu road ,3,27,Female,No,5,2,EMP1234,IT
Bachelors,2015,Lalpur,2,24,Female,No,2,7,EMP1235,Sales
Bachelors,2017,Ratu road ,3,27,Female,No,5,4,EMP1236,Marketing
Bachelors,2016,Ratu road ,3,25,Male,No,3,11,EMP1237,Marketing
Bachelors,2018,Ratu road ,3,26,Male,No,4,10,EMP1238,Marketing
Bachelors,2015,Ratu road ,3,27,Male,No,5,4,EMP1239,Marketing
Bachelors,2014,Lalpur,3,24,Male,No,2,9,EMP1240,Finance
Bachelors,2012,Ratu road ,3,27,Male,No,5,5,EMP1241,Sales
Bachelors,2013,Lalpur,3,27,Male,No,5,6,EMP1242,Sales
Bachelors,2015,Ratu road ,1,25,Male,No,3,5,EMP1243,Sales
Masters,2017,kanke,2,25,Female,No,3,0,EMP1244,Sales
PHD,2015,Lalpur,3,28,Male,No,0,1,EMP1245,Finance
Bachelors,2015,Ratu road ,3,28,Male,No,3,1,EMP1246,IT
Bachelors,2016,Ratu road ,3,28,Male,No,5,2,EMP1247,Sales
PHD,2013,kanke,3,24,Male,No,2,12,EMP1248,IT
Bachelors,2014,Ratu road ,3,26,Male,Yes,4,5,EMP1249,Finance
Bachelors,2015,Lalpur,2,26,Female,Yes,4,10,EMP1250,HR
Bachelors,2017,Ratu road ,3,27,Male,Yes,5,6,EMP1251,HR
Bachelors,2014,kanke,3,26,Male,No,4,2,EMP1252,Marketing
Masters,2013,Ratu road ,3,27,Male,No,5,10,EMP1253,Sales
Bachelors,2016,Lalpur,3,24,Male,Yes,2,12,EMP1254,HR
Bachelors,2016,Ratu road ,3,26,Male,No,4,3,EMP1255,HR
Bachelors,2013,Lalpur,2,28,Female,No,2,1,EMP1256,IT
Masters,2017,Ratu road ,2,24,Male,No,2,11,EMP1257,Sales
Masters,2017,kanke,2,24,Male,No,2,4,EMP1258,Marketing
Masters,2015,Lalpur,2,24,Female,No,2,5,EMP1259,Marketing
Bachelors,2014,Lalpur,3,26,Male,No,4,5,EMP1260,Marketing
Bachelors,2016,Lalpur,2,27,Female,No,5,4,EMP1261,Marketing
Bachelors,2017,Ratu road ,3,25,Male,No,3,6,EMP1262,Marketing
Masters,2017,kanke,2,26,Female,No,4,8,EMP1263,Finance
Bachelors,2016,Ratu road ,1,25,Female,No,3,8,EMP1264,Sales
PHD,2014,Ratu road ,1,25,Female,No,3,4,EMP1265,Finance
Bachelors,2013,Ratu road ,3,25,Female,No,3,0,EMP1266,Finance
Bachelors,2014,kanke,3,24,Male,No,2,8,EMP1267,Sales
Bachelors,2015,Lalpur,2,28,Female,Yes,2,4,EMP1268,Marketing
Bachelors,2014,kanke,3,28,Male,No,5,2,EMP1269,Sales
Bachelors,2015,Ratu road ,3,26,Male,No,4,4,EMP1270,Marketing
Bachelors,2014,Ratu road ,3,25,Male,No,3,1,EMP1271,Marketing
Bachelors,2018,Lalpur,3,26,Male,No,4,8,EMP1272,Finance
Masters,2015,Lalpur,2,28,Female,No,2,7,EMP1273,HR
Masters,2013,kanke,3,28,Male,No,2,4,EMP1274,Finance
Bachelors,2014,Ratu road ,3,25,Male,No,3,10,EMP1275,HR
Masters,2015,kanke,2,26,Female,No,4,1,EMP1276,HR
Bachelors,2016,kanke,3,27,Male,No,5,12,EMP1277,Marketing
Bachelors,2014,Ratu road ,3,24,Female,No,2,5,EMP1278,Sales
Masters,2017,Lalpur,3,24,Female,No,2,5,EMP1279,Finance
Bachelors,2014,Lalpur,3,25,Female,No,3,4,EMP1280,Finance
Bachelors,2015,Lalpur,3,27,Female,No,5,7,EMP1281,IT
Bachelors,2017,kanke,2,28,Male,No,0,6,EMP1282,Finance
Bachelors,2017,kanke,3,25,Female,No,3,8,EMP1283,Marketing
Bachelors,2012,Lalpur,3,24,Male,No,2,4,EMP1284,HR
Masters,2016,kanke,3,25,Male,No,3,3,EMP1285,Finance
Bachelors,2015,Lalpur,2,26,Female,No,4,10,EMP1286,IT
Masters,2014,kanke,3,27,Male,No,5,10,EMP1287,Finance
Bachelors,2015,Ratu road ,3,24,Female,No,2,0,EMP1288,IT
Bachelors,2014,kanke,3,25,Male,No,3,3,EMP1289,Sales
Bachelors,2017,Ratu road ,3,24,Male,No,2,8,EMP1290,Marketing
Bachelors,2017,kanke,3,24,Female,No,2,5,EMP1291,Marketing
Bachelors,2012,Ratu road ,3,28,Male,No,1,9,EMP1292,IT
Bachelors,2014,Ratu road ,1,26,Male,No,4,8,EMP1293,IT
Bachelors,2017,Ratu road ,3,28,Male,Yes,3,9,EMP1294,IT
Bachelors,2015,Lalpur,1,25,Female,No,3,6,EMP1295,Finance
Bachelors,2015,Lalpur,2,24,Female,Yes,2,2,EMP1296,Marketing
Bachelors,2017,Lalpur,2,26,Male,No,4,10,EMP1297,IT
Bachelors,2015,Ratu road ,3,28,Male,No,0,4,EMP1298,Finance
Bachelors,2016,Ratu road ,3,28,Male,No,2,4,EMP1299,IT
Bachelors,2013,Lalpur,3,28,Female,Yes,3,11,EMP1300,HR
Bachelors,2017,Ratu road ,3,27,Male,No,5,2,EMP1301,Finance
Masters,2015,kanke,3,25,Male,No,3,9,EMP1302,HR
Bachelors,2012,kanke,3,28,Female,No,4,2,EMP1303,Marketing
Bachelors,2012,Ratu road ,3,26,Male,No,4,9,EMP1304,IT
Bachelors,2012,Ratu road ,3,25,Male,No,3,5,EMP1305,IT
Masters,2017,kanke,3,25,Male,No,3,2,EMP1306,Finance
Bachelors,2017,Ratu road ,3,25,Male,No,3,10,EMP1307,Finance
Bachelors,2012,Ratu road ,3,26,Female,No,4,11,EMP1308,Marketing
Bachelors,2017,Ratu road ,3,26,Female,No,4,5,EMP1309,Finance
Masters,2017,kanke,2,25,Male,Yes,3,12,EMP1310,HR
Bachelors,2015,Ratu road ,3,25,Male,No,3,8,EMP1311,Marketing
Bachelors,2013,Ratu road ,3,26,Female,No,4,12,EMP1312,Finance
Bachelors,2017,Lalpur,3,25,Female,No,3,12,EMP1313,Finance
